DIRECTORIO;P424;P4030;P4030S1;P4030S1A1;P4030S5;P4030S3;P4030S4;P4030S4A1;P4030S2;DIA_REF;REGION;CLASE;F_EXP
1000213;1; ;1;1;1;1;1;3;1;2;1;1;87,27339379
1000215;2; ;1;2;1;1;1;3;1;3;1;1;200,0650911
1000216;2; ;1;2;1;1;1;3;2;3;3;1;191,0329944
1000217;1; ;1;2;1;1;1;3;1;3;1;1;67,86309322
1000218;2; ;1;4;1;1;1;7;1;3;2;1;83,73089709
1000219;2; ;1;2;1;1;1;3;1;2;2;1;278,1423201
1000220;3; ;1;2;1;1;1;3;1;3;4;1;470,4822096
1000221;2; ;1;2;1;1;1;3;1;3;5;1;368,3255883
1000222;1; ;1;1;1;1;1;3;2;3;1;1;173,8324885
1000223;1; ;1;1;1;1;2; ;2;3;1;1;192,3542159
1000224;1; ;1;2;1;1;1;3;1;3;3;1;172,0075037
1000225;2; ;1;2;1;1;1;3;2;3;4;1;401,1473326
1000226;1; ;1;2;1;1;1;3;2;3;3;1;237,3753106
1000227;2; ;1;2;1;1;1;2;2;3;2;1;160,6358982
1000228;2; ;1;1;1;1;2; ;1;3;1;1;227,9454432
1000229;2; ;1;2;1;1;1;3;1;3;4;1;472,8532614
1000230;2; ;1;2;1;1;1;3;1;3;3;1;172,2167875
1000231;2; ;1;3;1;1;1;2;1;3;2;1;165,0292309
1000232;1; ;1;1;1;1;2; ;1;3;1;1;216,1723337
1000233;2; ;1;2;1;1;1;3;1;3;3;1;255,2448591
